aaag,ysag,cobi,aaa,ysa,Rate,UUI,LUI,Sex
11-19,6-10,<100,11,9,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,12,9,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,13,9,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,14,9,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,15,9,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,16,9,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,17,9,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,18,9,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,19,9,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,11,10,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,12,10,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,13,10,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,14,10,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,15,10,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,16,10,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,17,10,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,18,10,0.002559121,0.004642917,0.001290421,Both
11-19,6-10,<100,19,10,0.002559121,0.004642917,0.001290421,Both
11-19,11-20,100+,11,11,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,12,11,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,13,11,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,14,11,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,15,11,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,16,11,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,17,11,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,18,11,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,19,11,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,11,12,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,12,12,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,13,12,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,14,12,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,15,12,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,16,12,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,17,12,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,18,12,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,19,12,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,11,13,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,12,13,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,13,13,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,14,13,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,15,13,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,16,13,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,17,13,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,18,13,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,19,13,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,11,14,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,12,14,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,13,14,0.001202352,0.002057256,0.000674913,Both
