prevalence_scenario,screeningStrategy,screen_count_requested,outcome,old_value,locked_run_value,source_file,absolute_difference,relative_difference,comparison_abs_tolerance,difference_class,pass_fail
base_default_LTBI,ltbi,50,screenCoverage,0.0333333333333333,0.0333333333333333,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,NNS_prevent_one_active_TB,16.666666666666668,16.666666666666668,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,NNT_completed_prevent_one_active_TB,3.5,3.5,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,NNT_started_prevent_one_active_TB,4.333333333333333,4.333333333333333,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,PPV_trueAmongTestPositive,0.967741935483871,0.967741935483871,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,falsePositiveShareAmongTestPositive,0.032258064516129,0.032258064516129,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,falsePositiveTestsPerTruePositiveTest,0.0333333333333333,0.0333333333333333,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,falsePositiveTreatedPerTruePositiveTreated,0.04,0.04,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,falsePositiveTreatedShareAmongCoursesStarted,0.0384615384615384,0.0384615384615384,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nActiveBy20y_AfterStrategy_median,31.0,31.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nActiveBy20y_DoNothing_median,37.0,37.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nCuredInfection_median,16.0,16.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nFalsePositiveTestsBCG_median,1.0,1.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nFalsePositiveTestsNoBCG_median,0.0,0.0,apy_cho_epi_curve_data.csv,0.0,,1e-12,exact,pass
base_default_LTBI,ltbi,100,nFalsePositiveTests_median,1.0,1.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
